city,match_type,team1,team2,toss_winner,toss_decision,winner,method
Ranchi,Qualifier 2,CSK,RCB,CSK,field,CSK,NA
Kolkata,Final,MI,CSK,CSK,field,MI,NA
Kolkata,League,KKR,DC,KKR,field,KKR,NA
Bengaluru,League,RCB,SRH,SRH,field,RCB,NA
Kolkata,League,KKR,MI,MI,field,MI,NA
Delhi,League,DC,PBKS,DC,field,DC,NA
Hyderabad,League,SRH,KKR,SRH,bat,KKR,NA
Bengaluru,League,RCB,DC,DC,field,DC,NA
Hyderabad,League,SRH,MI,SRH,field,SRH,NA
Chandigarh,League,PBKS,KKR,KKR,field,KKR,NA
Mumbai,League,MI,RCB,MI,field,MI,NA
Delhi,League,DC,MI,MI,field,DC,NA
Hyderabad,League,SRH,PBKS,SRH,field,SRH,NA
Chandigarh,League,PBKS,MI,PBKS,field,MI,NA
Mumbai,League,MI,KKR,MI,field,MI,NA
Delhi,League,DC,KKR,KKR,field,DC,NA
Hyderabad,League,SRH,RCB,RCB,field,SRH,NA
Bengaluru,League,RCB,KKR,KKR,field,KKR,NA
Kolkata,League,KKR,PBKS,PBKS,field,KKR,NA
Chandigarh,League,PBKS,DC,DC,field,PBKS,NA
Visakhapatnam,League,MI,SRH,MI,field,SRH,NA
Chandigarh,League,PBKS,RCB,PBKS,field,RCB,NA
Bengaluru,League,RCB,MI,MI,field,MI,NA
Hyderabad,League,SRH,DC,DC,field,DC,NA
Visakhapatnam,League,MI,PBKS,MI,bat,PBKS,NA
Chandigarh,League,PBKS,SRH,PBKS,bat,SRH,NA
Visakhapatnam,League,MI,DC,DC,field,MI,NA
Kolkata,League,KKR,RCB,RCB,field,RCB,NA
Bengaluru,League,RCB,PBKS,PBKS,field,RCB,D/L
Raipur,League,DC,SRH,DC,field,DC,NA
Kolkata,League,KKR,SRH,SRH,field,KKR,NA
Raipur,League,DC,RCB,RCB,field,RCB,NA
Delhi,Elimination Final,SRH,KKR,KKR,field,SRH,NA
Bengaluru,Final,RCB,SRH,SRH,bat,SRH,NA
Hyderabad,League,SRH,RCB,RCB,field,SRH,NA
Bengaluru,League,RCB,DC,RCB,bat,RCB,NA
Mumbai,League,MI,KKR,MI,field,MI,NA
Indore,League,PBKS,RCB,RCB,bat,PBKS,NA
Mumbai,League,MI,SRH,MI,field,MI,NA
Kolkata,League,KKR,PBKS,KKR,field,KKR,NA
Bengaluru,League,RCB,MI,MI,field,MI,NA
Kolkata,League,KKR,SRH,SRH,field,KKR,NA
Delhi,League,DC,PBKS,DC,bat,DC,NA
Delhi,League,DC,KKR,DC,bat,KKR,NA
Hyderabad,League,SRH,PBKS,PBKS,field,SRH,NA
Hyderabad,League,SRH,DC,SRH,bat,SRH,NA
Indore,League,PBKS,MI,MI,field,MI,NA
Mumbai,League,MI,DC,DC,field,MI,NA
Kolkata,League,KKR,RCB,RCB,field,KKR,NA
Kolkata,League,KKR,DC,KKR,field,KKR,NA
Chandigarh,League,PBKS,SRH,PBKS,field,SRH,NA
Chandigarh,League,PBKS,DC,PBKS,field,PBKS,NA
Hyderabad,League,SRH,KKR,KKR,field,SRH,NA
Mumbai,League,MI,RCB,RCB,bat,MI,NA
Delhi,League,DC,SRH,DC,field,DC,NA
Bengaluru,League,RCB,PBKS,RCB,field,PBKS,NA
Delhi,League,DC,MI,DC,field,MI,NA
Bengaluru,League,RCB,KKR,KKR,field,KKR,NA
Hyderabad,League,SRH,MI,MI,bat,SRH,NA
Chandigarh,League,PBKS,KKR,KKR,field,PBKS,NA
Mumbai,League,MI,PBKS,MI,field,PBKS,NA
Kolkata,League,KKR,MI,KKR,field,MI,NA
Delhi,League,DC,RCB,RCB,bat,RCB,NA
Bengaluru,Eliminator,SRH,KKR,KKR,field,KKR,D/L
Bengaluru,Qualifier 2,MI,KKR,MI,field,MI,NA
Mumbai,League,MI,CSK,CSK,field,CSK,NA
Chandigarh,League,DC,PBKS,PBKS,field,PBKS,NA
Kolkata,League,RCB,KKR,KKR,field,KKR,NA
Hyderabad,League,RR,SRH,SRH,field,SRH,NA
Chennai,League,KKR,CSK,CSK,field,CSK,NA
Jaipur,League,RR,DC,DC,field,RR,D/L
Hyderabad,League,MI,SRH,SRH,field,SRH,NA
Bengaluru,League,PBKS,RCB,RCB,field,RCB,NA
Mumbai,League,MI,DC,DC,field,DC,NA
Kolkata,League,KKR,SRH,SRH,field,SRH,NA
Bengaluru,League,RR,RCB,RCB,field,RR,NA
Chandigarh,League,PBKS,CSK,CSK,field,PBKS,NA
Kolkata,League,KKR,DC,DC,field,KKR,NA
Mumbai,League,MI,RCB,RCB,field,MI,NA
Jaipur,League,RR,KKR,KKR,field,KKR,NA
Chandigarh,League,PBKS,SRH,PBKS,bat,PBKS,NA
Pune,League,CSK,RR,RR,field,CSK,NA
Kolkata,League,KKR,PBKS,PBKS,field,PBKS,D/L
Bengaluru,League,DC,RCB,RCB,field,RCB,NA
Hyderabad,League,CSK,SRH,SRH,field,CSK,NA
Jaipur,League,MI,RR,MI,bat,RR,NA
Delhi,League,PBKS,DC,DC,field,PBKS,NA
Mumbai,League,SRH,MI,MI,field,SRH,NA
Bengaluru,League,RCB,CSK,CSK,field,CSK,NA
Hyderabad,League,SRH,PBKS,PBKS,field,SRH,NA
Delhi,League,DC,KKR,KKR,field,DC,NA
Pune,League,CSK,MI,MI,field,MI,NA
Jaipur,League,SRH,RR,SRH,bat,SRH,NA
Bengaluru,League,RCB,KKR,KKR,field,KKR,NA
Pune,League,CSK,DC,DC,field,CSK,NA
Bengaluru,League,RCB,MI,MI,field,RCB,NA
Delhi,League,DC,RR,RR,field,DC,D/L
Kolkata,League,CSK,KKR,KKR,field,KKR,NA
Indore,League,PBKS,MI,MI,field,MI,NA
Pune,League,RCB,CSK,CSK,field,CSK,NA
Hyderabad,League,DC,SRH,DC,bat,SRH,NA
Mumbai,League,MI,KKR,KKR,field,MI,NA
Indore,League,RR,PBKS,PBKS,field,PBKS,NA
Hyderabad,League,SRH,RCB,RCB,field,SRH,NA
Jaipur,League,RR,PBKS,RR,bat,RR,NA
Kolkata,League,MI,KKR,KKR,field,MI,NA
Delhi,League,DC,SRH,DC,bat,SRH,NA
Jaipur,League,CSK,RR,CSK,bat,RR,NA
Indore,League,KKR,PBKS,PBKS,field,KKR,NA
Delhi,League,DC,RCB,RCB,field,RCB,NA
Pune,League,SRH,CSK,CSK,field,CSK,NA
Mumbai,League,MI,RR,RR,field,RR,NA
Indore,League,PBKS,RCB,RCB,field,RCB,NA
Kolkata,League,RR,KKR,KKR,field,KKR,NA
Mumbai,League,MI,PBKS,PBKS,field,MI,NA
Bengaluru,League,RCB,SRH,SRH,field,RCB,NA
Delhi,League,DC,CSK,CSK,field,DC,NA
Jaipur,League,RR,RCB,RR,bat,RR,NA
Hyderabad,League,SRH,KKR,SRH,bat,KKR,NA
Delhi,League,DC,MI,DC,bat,DC,NA
Pune,League,PBKS,CSK,CSK,field,CSK,NA
Mumbai,Qualifier 1,SRH,CSK,CSK,field,CSK,NA
Kolkata,Eliminator,KKR,RR,RR,field,KKR,NA
Kolkata,Qualifier 2,SRH,KKR,KKR,field,SRH,NA
Mumbai,Final,SRH,CSK,CSK,field,CSK,NA
Chennai,League,RCB,CSK,CSK,field,CSK,NA
Kolkata,League,SRH,KKR,KKR,field,KKR,NA
Mumbai,League,DC,MI,MI,field,DC,NA
Jaipur,League,PBKS,RR,RR,field,PBKS,NA
Delhi,League,DC,CSK,DC,bat,CSK,NA
Kolkata,League,KKR,PBKS,PBKS,field,KKR,NA
Bengaluru,League,MI,RCB,RCB,field,MI,NA
Hyderabad,League,RR,SRH,RR,bat,SRH,NA
Chandigarh,League,MI,PBKS,PBKS,field,PBKS,NA
Delhi,League,KKR,DC,DC,field,DC,NA
Hyderabad,League,SRH,RCB,RCB,field,SRH,NA
Chennai,League,CSK,RR,RR,field,CSK,NA
Chandigarh,League,PBKS,DC,DC,field,PBKS,NA
Jaipur,League,RCB,RR,RR,field,RR,NA
Mumbai,League,MI,CSK,CSK,field,MI,NA
Delhi,League,DC,SRH,SRH,field,SRH,NA
Bengaluru,League,RCB,KKR,KKR,field,KKR,NA
Chennai,League,CSK,PBKS,CSK,bat,CSK,NA
Hyderabad,League,MI,SRH,SRH,field,MI,NA
Bengaluru,League,RCB,DC,DC,field,DC,NA
Jaipur,League,RR,KKR,KKR,field,KKR,NA
Chandigarh,League,SRH,PBKS,PBKS,field,PBKS,NA
Chennai,League,KKR,CSK,CSK,field,CSK,NA
Mumbai,League,PBKS,MI,MI,field,MI,NA
Jaipur,League,RR,CSK,CSK,field,CSK,NA
Kolkata,League,KKR,DC,DC,field,DC,NA
Mumbai,League,MI,RR,RR,field,RR,NA
Chandigarh,League,PBKS,RCB,RCB,field,RCB,NA
Kolkata,League,KKR,CSK,CSK,field,CSK,NA
Hyderabad,League,DC,SRH,SRH,field,DC,NA
Mumbai,League,RCB,MI,MI,field,MI,NA
Chandigarh,League,PBKS,RR,RR,field,PBKS,NA
Hyderabad,League,CSK,SRH,CSK,bat,SRH,NA
Delhi,League,MI,DC,MI,bat,MI,NA
Kolkata,League,RCB,KKR,KKR,field,RCB,NA
Jaipur,League,MI,RR,RR,field,RR,NA
Delhi,League,PBKS,DC,DC,field,DC,NA
Hyderabad,League,KKR,SRH,SRH,field,SRH,NA
Bengaluru,League,RCB,CSK,CSK,field,RCB,NA
Jaipur,League,RR,DC,DC,field,DC,NA
Chennai,League,SRH,CSK,CSK,field,CSK,NA
Bengaluru,League,RCB,PBKS,PBKS,field,RCB,NA
Kolkata,League,KKR,RR,RR,field,RR,NA
Chennai,League,MI,CSK,CSK,field,MI,NA
Jaipur,League,SRH,RR,RR,field,RR,NA
Delhi,League,DC,RCB,DC,bat,DC,NA
Kolkata,League,KKR,MI,MI,field,KKR,NA
Hyderabad,League,SRH,PBKS,PBKS,field,SRH,NA
Bengaluru,League,RCB,RR,RR,field,NA,NA
Chennai,League,CSK,DC,DC,field,CSK,NA
Mumbai,League,MI,SRH,MI,bat,MI,NA
Chandigarh,League,PBKS,KKR,KKR,field,KKR,NA
Delhi,League,RR,DC,RR,bat,DC,NA
Bengaluru,League,SRH,RCB,RCB,field,RCB,NA
Chandigarh,League,CSK,PBKS,PBKS,field,PBKS,NA
Mumbai,League,KKR,MI,MI,field,MI,NA
Chennai,Qualifier 1,CSK,MI,CSK,bat,MI,NA
Visakhapatnam,Eliminator,SRH,DC,DC,field,DC,NA
Visakhapatnam,Qualifier 2,DC,CSK,CSK,field,CSK,NA
Hyderabad,Final,MI,CSK,MI,bat,MI,NA
Abu Dhabi,League,MI,CSK,CSK,field,CSK,NA
NA,League,DC,PBKS,PBKS,field,DC,NA
NA,League,RCB,SRH,SRH,field,RCB,NA
NA,League,RR,CSK,CSK,field,RR,NA
Abu Dhabi,League,MI,KKR,KKR,field,MI,NA
NA,League,PBKS,RCB,RCB,field,PBKS,NA
NA,League,DC,CSK,CSK,field,DC,NA
Abu Dhabi,League,SRH,KKR,SRH,bat,KKR,NA
NA,League,PBKS,RR,RR,field,RR,NA
NA,League,RCB,MI,MI,field,RCB,NA
Abu Dhabi,League,SRH,DC,DC,field,SRH,NA
NA,League,KKR,RR,RR,field,KKR,NA
Abu Dhabi,League,MI,PBKS,PBKS,field,MI,NA
NA,League,SRH,CSK,SRH,bat,SRH,NA
Abu Dhabi,League,RR,RCB,RR,bat,RCB,NA
NA,League,DC,KKR,KKR,field,DC,NA
NA,League,PBKS,CSK,PBKS,bat,CSK,NA
NA,League,MI,SRH,MI,bat,MI,NA
NA,League,DC,RCB,RCB,field,DC,NA
Abu Dhabi,League,MI,RR,MI,bat,MI,NA
Abu Dhabi,League,KKR,CSK,KKR,bat,KKR,NA
NA,League,SRH,PBKS,SRH,bat,SRH,NA
NA,League,DC,RR,RR,field,DC,NA
Abu Dhabi,League,KKR,PBKS,KKR,bat,KKR,NA
NA,League,RCB,CSK,RCB,bat,RCB,NA
NA,League,SRH,RR,SRH,bat,RR,NA
Abu Dhabi,League,DC,MI,DC,bat,MI,NA
NA,League,RCB,KKR,RCB,bat,RCB,NA
NA,League,CSK,SRH,CSK,bat,CSK,NA
NA,League,DC,RR,DC,bat,DC,NA
NA,League,RCB,PBKS,RCB,bat,PBKS,NA
Abu Dhabi,League,KKR,MI,KKR,bat,MI,NA
NA,League,CSK,DC,CSK,bat,DC,NA
NA,League,RR,RCB,RR,bat,RCB,NA
Abu Dhabi,League,KKR,SRH,SRH,field,KKR,NA
NA,League,MI,PBKS,MI,bat,PBKS,NA
Abu Dhabi,League,CSK,RR,CSK,bat,RR,NA
NA,League,DC,PBKS,DC,bat,PBKS,NA
Abu Dhabi,League,KKR,RCB,KKR,bat,RCB,NA
NA,League,RR,SRH,SRH,field,SRH,NA
NA,League,CSK,MI,MI,field,MI,NA
Abu Dhabi,League,KKR,DC,DC,field,KKR,NA
NA,League,PBKS,SRH,SRH,field,PBKS,NA
Abu Dhabi,League,MI,RR,MI,bat,RR,NA
NA,League,RCB,CSK,RCB,bat,CSK,NA
NA,League,KKR,PBKS,PBKS,field,PBKS,NA
NA,League,SRH,DC,DC,field,SRH,NA
Abu Dhabi,League,RCB,MI,MI,field,MI,NA
NA,League,KKR,CSK,CSK,field,CSK,NA
Abu Dhabi,League,PBKS,RR,RR,field,RR,NA
NA,League,RCB,SRH,SRH,field,SRH,NA
NA,League,DC,MI,MI,field,MI,NA
Abu Dhabi,League,PBKS,CSK,CSK,field,CSK,NA
NA,League,KKR,RR,RR,field,KKR,NA
Abu Dhabi,League,RCB,DC,DC,field,DC,NA
NA,League,MI,SRH,SRH,field,SRH,NA
NA,Qualifier 1,MI,DC,DC,field,MI,NA
Abu Dhabi,Eliminator,RCB,SRH,SRH,field,SRH,NA
Abu Dhabi,Qualifier 2,DC,SRH,DC,bat,DC,NA
NA,Final,DC,MI,DC,bat,MI,NA
Chennai,League,MI,RCB,RCB,field,RCB,NA
Mumbai,League,CSK,DC,DC,field,DC,NA
Chennai,League,KKR,SRH,SRH,field,KKR,NA
Mumbai,League,PBKS,RR,RR,field,PBKS,NA
Chennai,League,MI,KKR,KKR,field,MI,NA
Chennai,League,RCB,SRH,SRH,field,RCB,NA
Mumbai,League,DC,RR,RR,field,RR,NA
Mumbai,League,PBKS,CSK,CSK,field,CSK,NA
Chennai,League,MI,SRH,MI,bat,MI,NA
Chennai,League,RCB,KKR,RCB,bat,RCB,NA
Mumbai,League,PBKS,DC,DC,field,DC,NA
Mumbai,League,CSK,RR,RR,field,CSK,NA
Chennai,League,MI,DC,MI,bat,DC,NA
Chennai,League,PBKS,SRH,PBKS,bat,SRH,NA
Mumbai,League,CSK,KKR,KKR,field,CSK,NA
Mumbai,League,RR,RCB,RCB,field,RCB,NA
Chennai,League,MI,PBKS,PBKS,field,PBKS,NA
Mumbai,League,KKR,RR,RR,field,RR,NA
Mumbai,League,CSK,RCB,CSK,bat,CSK,NA
Chennai,League,DC,SRH,DC,bat,DC,NA
Ahmedabad,League,PBKS,KKR,KKR,field,KKR,NA
Ahmedabad,League,RCB,DC,DC,field,RCB,NA
Delhi,League,SRH,CSK,SRH,bat,CSK,NA
Delhi,League,RR,MI,MI,field,MI,NA
Ahmedabad,League,KKR,DC,DC,field,DC,NA
Ahmedabad,League,PBKS,RCB,RCB,field,PBKS,NA
Delhi,League,CSK,MI,MI,field,MI,NA
Delhi,League,RR,SRH,SRH,field,RR,NA
Ahmedabad,League,PBKS,DC,DC,field,DC,NA
Dubai,League,CSK,MI,CSK,bat,CSK,NA
Abu Dhabi,League,RCB,KKR,RCB,bat,KKR,NA
Dubai,League,RR,PBKS,PBKS,field,RR,NA
Dubai,League,SRH,DC,SRH,bat,DC,NA
Abu Dhabi,League,MI,KKR,KKR,field,KKR,NA
Sharjah,League,RCB,CSK,CSK,field,CSK,NA
Abu Dhabi,League,DC,RR,RR,field,DC,NA
Sharjah,League,PBKS,SRH,SRH,field,PBKS,NA
Abu Dhabi,League,KKR,CSK,KKR,bat,CSK,NA
Dubai,League,RCB,MI,MI,field,RCB,NA
Dubai,League,RR,SRH,RR,bat,SRH,NA
Sharjah,League,DC,KKR,KKR,field,KKR,NA
Abu Dhabi,League,PBKS,MI,MI,field,MI,NA
Dubai,League,RR,RCB,RCB,field,RCB,NA
Sharjah,League,SRH,CSK,CSK,field,CSK,NA
Dubai,League,KKR,PBKS,PBKS,field,PBKS,NA
Abu Dhabi,League,CSK,RR,RR,field,RR,NA
Sharjah,League,MI,DC,DC,field,DC,NA
Sharjah,League,RCB,PBKS,RCB,bat,RCB,NA
Dubai,League,SRH,KKR,SRH,bat,KKR,NA
Dubai,League,CSK,DC,DC,field,DC,NA
Sharjah,League,RR,MI,MI,field,MI,NA
Abu Dhabi,League,SRH,RCB,RCB,field,SRH,NA
Dubai,League,CSK,PBKS,PBKS,field,PBKS,NA
Sharjah,League,KKR,RR,RR,field,KKR,NA
Abu Dhabi,League,MI,SRH,MI,bat,MI,NA
Dubai,League,DC,RCB,RCB,field,RCB,NA
Dubai,Qualifier 1,DC,CSK,CSK,field,CSK,NA
Sharjah,Eliminator,RCB,KKR,RCB,bat,KKR,NA
Sharjah,Qualifier 2,DC,KKR,KKR,field,KKR,NA
Dubai,Final,CSK,KKR,KKR,field,CSK,NA
Mumbai,League,CSK,KKR,KKR,field,KKR,NA
Mumbai,League,MI,DC,DC,field,DC,NA
Mumbai,League,RCB,PBKS,PBKS,field,PBKS,NA
Mumbai,League,LSG,GT,GT,field,GT,NA
Pune,League,RR,SRH,SRH,field,RR,NA
Mumbai,League,KKR,RCB,RCB,field,RCB,NA
Mumbai,League,CSK,LSG,LSG,field,LSG,NA
Mumbai,League,PBKS,KKR,KKR,field,KKR,NA
Mumbai,League,RR,MI,MI,field,RR,NA
Pune,League,GT,DC,DC,field,GT,NA
Mumbai,League,PBKS,CSK,CSK,field,PBKS,NA
Mumbai,League,LSG,SRH,SRH,field,LSG,NA
Mumbai,League,RR,RCB,RCB,field,RCB,NA
Pune,League,MI,KKR,KKR,field,KKR,NA
Mumbai,League,DC,LSG,LSG,field,LSG,NA
Mumbai,League,PBKS,GT,GT,field,GT,NA
Mumbai,League,CSK,SRH,SRH,field,SRH,NA
Pune,League,MI,RCB,RCB,field,RCB,NA
Mumbai,League,DC,KKR,KKR,field,DC,NA
Mumbai,League,RR,LSG,LSG,field,RR,NA
Mumbai,League,GT,SRH,SRH,field,SRH,NA
Mumbai,League,CSK,RCB,RCB,field,CSK,NA
Pune,League,PBKS,MI,MI,field,PBKS,NA
Mumbai,League,GT,RR,RR,field,GT,NA
Mumbai,League,KKR,SRH,SRH,field,SRH,NA
Mumbai,League,LSG,MI,MI,field,LSG,NA
Mumbai,League,RCB,DC,DC,field,RCB,NA
Mumbai,League,PBKS,SRH,SRH,field,SRH,NA
Pune,League,CSK,GT,GT,field,GT,NA
Mumbai,League,RR,KKR,KKR,field,RR,NA
Mumbai,League,RCB,LSG,LSG,field,RCB,NA
Mumbai,League,PBKS,DC,DC,field,DC,NA
Navi Mumbai,League,MI,CSK,CSK,field,CSK,NA
Mumbai,League,RR,DC,DC,field,RR,NA
Navi Mumbai,League,GT,KKR,GT,bat,GT,NA
Mumbai,League,RCB,SRH,SRH,field,SRH,NA
Mumbai,League,LSG,MI,MI,field,LSG,NA
Mumbai,League,PBKS,CSK,CSK,field,PBKS,NA
Pune,League,RR,RCB,RCB,field,RR,NA
Mumbai,League,SRH,GT,GT,field,GT,NA
Mumbai,League,KKR,DC,DC,field,DC,NA
Pune,League,LSG,PBKS,PBKS,field,LSG,NA
Mumbai,League,RCB,GT,RCB,bat,GT,NA
Navi Mumbai,League,RR,MI,MI,field,MI,NA
Mumbai,League,LSG,DC,LSG,bat,LSG,NA
Pune,League,CSK,SRH,SRH,field,CSK,NA
Mumbai,League,RR,KKR,KKR,field,KKR,NA
Navi Mumbai,League,GT,PBKS,GT,bat,PBKS,NA
Pune,League,RCB,CSK,CSK,field,RCB,NA
Mumbai,League,DC,SRH,SRH,field,DC,NA
Mumbai,League,MI,GT,GT,field,MI,NA
Mumbai,League,PBKS,RR,PBKS,bat,RR,NA
Pune,League,LSG,KKR,KKR,field,LSG,NA
Mumbai,League,RCB,SRH,RCB,bat,RCB,NA
Navi Mumbai,League,CSK,DC,DC,field,CSK,NA
Navi Mumbai,League,KKR,MI,MI,field,KKR,NA
Pune,League,GT,LSG,GT,bat,GT,NA
Navi Mumbai,League,RR,DC,DC,field,DC,NA
Mumbai,League,CSK,MI,MI,field,MI,NA
Mumbai,League,PBKS,RCB,RCB,field,PBKS,NA
Pune,League,KKR,SRH,KKR,bat,KKR,NA
Mumbai,League,CSK,GT,CSK,bat,GT,NA
Mumbai,League,RR,LSG,RR,bat,RR,NA
Navi Mumbai,League,DC,PBKS,PBKS,field,DC,NA
Mumbai,League,SRH,MI,MI,field,SRH,NA
Navi Mumbai,League,LSG,KKR,LSG,bat,LSG,NA
Mumbai,League,GT,RCB,GT,bat,RCB,NA
Mumbai,League,CSK,RR,CSK,bat,RR,NA
Mumbai,League,DC,MI,MI,field,MI,NA
Mumbai,League,SRH,PBKS,SRH,bat,PBKS,NA
Kolkata,Qualifier 1,RR,GT,GT,field,GT,NA
Kolkata,Eliminator,RCB,LSG,LSG,field,RCB,NA
Ahmedabad,Qualifier 2,RCB,RR,RR,field,RR,NA
Ahmedabad,Final,RR,GT,RR,bat,GT,NA
Ahmedabad,League,CSK,GT,GT,field,GT,NA
Chandigarh,League,PBKS,KKR,KKR,field,PBKS,D/L
Lucknow,League,LSG,DC,DC,field,LSG,NA
Hyderabad,League,RR,SRH,SRH,field,RR,NA
Bengaluru,League,MI,RCB,RCB,field,RCB,NA
Chennai,League,CSK,LSG,LSG,field,CSK,NA
Delhi,League,DC,GT,GT,field,GT,NA
Guwahati,League,PBKS,RR,RR,field,PBKS,NA
Kolkata,League,KKR,RCB,RCB,field,KKR,NA
Lucknow,League,SRH,LSG,SRH,bat,LSG,NA
Guwahati,League,RR,DC,DC,field,RR,NA
Mumbai,League,MI,CSK,CSK,field,CSK,NA
Ahmedabad,League,GT,KKR,GT,bat,KKR,NA
Hyderabad,League,PBKS,SRH,SRH,field,SRH,NA
Bengaluru,League,RCB,LSG,LSG,field,LSG,NA
Delhi,League,DC,MI,MI,field,MI,NA
Chennai,League,RR,CSK,CSK,field,RR,NA
Chandigarh,League,PBKS,GT,GT,field,GT,NA
Kolkata,League,SRH,KKR,KKR,field,SRH,NA
Bengaluru,League,RCB,DC,DC,field,RCB,NA
Lucknow,League,LSG,PBKS,PBKS,field,PBKS,NA
Mumbai,League,KKR,MI,MI,field,MI,NA
Ahmedabad,League,GT,RR,RR,field,RR,NA
Bengaluru,League,CSK,RCB,RCB,field,CSK,NA
Hyderabad,League,MI,SRH,SRH,field,MI,NA
Jaipur,League,LSG,RR,RR,field,LSG,NA
Chandigarh,League,RCB,PBKS,PBKS,field,RCB,NA
Delhi,League,KKR,DC,DC,field,DC,NA
Chennai,League,SRH,CSK,CSK,field,CSK,NA
Lucknow,League,GT,LSG,GT,bat,GT,NA
Mumbai,League,PBKS,MI,MI,field,PBKS,NA
Bengaluru,League,RCB,RR,RR,field,RCB,NA
Kolkata,League,CSK,KKR,KKR,field,CSK,NA
Hyderabad,League,DC,SRH,DC,bat,DC,NA
Ahmedabad,League,GT,MI,MI,field,GT,NA
Bengaluru,League,KKR,RCB,RCB,field,KKR,NA
Jaipur,League,RR,CSK,RR,bat,RR,NA
Chandigarh,League,LSG,PBKS,PBKS,field,LSG,NA
Kolkata,League,KKR,GT,GT,field,GT,NA
Delhi,League,SRH,DC,SRH,bat,SRH,NA
Chennai,League,CSK,PBKS,CSK,bat,PBKS,NA
Mumbai,League,RR,MI,RR,bat,MI,NA
Lucknow,League,RCB,LSG,RCB,bat,RCB,NA
Ahmedabad,League,DC,GT,DC,bat,DC,NA
Lucknow,League,LSG,CSK,CSK,field,NA,NA
Chandigarh,League,PBKS,MI,MI,field,MI,NA
Hyderabad,League,KKR,SRH,KKR,bat,KKR,NA
Jaipur,League,RR,GT,RR,bat,GT,NA
Chennai,League,MI,CSK,CSK,field,CSK,NA
Delhi,League,RCB,DC,RCB,bat,DC,NA
Ahmedabad,League,GT,LSG,LSG,field,GT,NA
Jaipur,League,RR,SRH,RR,bat,SRH,NA
Kolkata,League,PBKS,KKR,PBKS,bat,KKR,NA
Mumbai,League,RCB,MI,MI,field,MI,NA
Chennai,League,CSK,DC,CSK,bat,CSK,NA
Kolkata,League,KKR,RR,RR,field,RR,NA
Mumbai,League,MI,GT,GT,field,MI,NA
Hyderabad,League,SRH,LSG,SRH,bat,LSG,NA
Delhi,League,PBKS,DC,DC,field,PBKS,NA
Jaipur,League,RCB,RR,RCB,bat,RCB,NA
Chennai,League,CSK,KKR,CSK,bat,KKR,NA
Ahmedabad,League,GT,SRH,SRH,field,GT,NA
Lucknow,League,LSG,MI,MI,field,LSG,NA
Dharamsala,League,DC,PBKS,PBKS,field,DC,NA
Hyderabad,League,SRH,RCB,RCB,field,RCB,NA
Dharamsala,League,PBKS,RR,RR,field,RR,NA
Delhi,League,CSK,DC,CSK,bat,CSK,NA
Kolkata,League,LSG,KKR,KKR,field,LSG,NA
Mumbai,League,SRH,MI,MI,field,MI,NA
Bengaluru,League,RCB,GT,GT,field,GT,NA
Chennai,Qualifier 1,CSK,GT,GT,field,CSK,NA
Chennai,Eliminator,MI,LSG,MI,bat,MI,NA
Ahmedabad,Qualifier 2,GT,MI,MI,field,GT,NA
Ahmedabad,Final,GT,CSK,CSK,field,CSK,D/L
Chennai,League,RCB,CSK,RCB,bat,CSK,NA
Mohali,League,DC,PBKS,PBKS,field,PBKS,NA
Kolkata,League,KKR,SRH,SRH,field,KKR,NA
Jaipur,League,RR,LSG,RR,bat,RR,NA
Ahmedabad,League,GT,MI,MI,field,GT,NA
Bengaluru,League,PBKS,RCB,RCB,field,RCB,NA
Chennai,League,CSK,GT,GT,field,CSK,NA
Hyderabad,League,SRH,MI,MI,field,SRH,NA
Jaipur,League,RR,DC,DC,field,RR,NA
Bengaluru,League,RCB,KKR,KKR,field,KKR,NA
Lucknow,League,LSG,PBKS,LSG,bat,LSG,NA
Ahmedabad,League,SRH,GT,SRH,bat,GT,NA
Visakhapatnam,League,DC,CSK,DC,bat,DC,NA
Mumbai,League,MI,RR,RR,field,RR,NA
Bengaluru,League,LSG,RCB,RCB,field,LSG,NA
Visakhapatnam,League,KKR,DC,KKR,bat,KKR,NA
Ahmedabad,League,GT,PBKS,PBKS,field,PBKS,NA
Hyderabad,League,CSK,SRH,SRH,field,SRH,NA
Jaipur,League,RCB,RR,RR,field,RR,NA
Mumbai,League,MI,DC,DC,field,MI,NA
Lucknow,League,LSG,GT,LSG,bat,LSG,NA
Chennai,League,KKR,CSK,CSK,field,CSK,NA
Mohali,League,SRH,PBKS,PBKS,field,SRH,NA
Jaipur,League,RR,GT,GT,field,GT,NA
Mumbai,League,RCB,MI,MI,field,MI,NA
Lucknow,League,LSG,DC,LSG,bat,DC,NA
Mohali,League,PBKS,RR,RR,field,RR,NA
Kolkata,League,LSG,KKR,KKR,field,KKR,NA
Mumbai,League,CSK,MI,MI,field,CSK,NA
Bengaluru,League,SRH,RCB,RCB,field,SRH,NA
Kolkata,League,KKR,RR,RR,field,RR,NA
Ahmedabad,League,GT,DC,DC,field,DC,NA
Mohali,League,MI,PBKS,PBKS,field,MI,NA
Lucknow,League,CSK,LSG,LSG,field,LSG,NA
Delhi,League,SRH,DC,DC,field,SRH,NA
Kolkata,League,KKR,RCB,RCB,field,KKR,NA
Mohali,League,PBKS,GT,PBKS,bat,GT,NA
Jaipur,League,MI,RR,MI,bat,RR,NA
Chennai,League,CSK,LSG,LSG,field,LSG,NA
