city,match_type,team1,team2,toss_winner,toss_decision,winner,method
Centurion,League,RCB,SRH,RCB,bat,RCB,NA
Centurion,Semi Final,DC,SRH,SRH,field,SRH,NA
Johannesburg,Semi Final,RCB,CSK,RCB,field,RCB,NA
Johannesburg,Final,RCB,SRH,RCB,field,SRH,NA
Mumbai,League,SRH,KKR,SRH,field,KKR,NA
Mumbai,League,MI,RR,MI,bat,MI,NA
Chandigarh,League,PBKS,DC,DC,field,DC,NA
Kolkata,League,KKR,RCB,KKR,field,KKR,NA
Chennai,League,CSK,SRH,SRH,bat,SRH,NA
Ahmedabad,League,RR,DC,DC,field,DC,NA
Bengaluru,League,RCB,PBKS,PBKS,bat,RCB,NA
Kolkata,League,KKR,CSK,CSK,bat,CSK,NA
Delhi,League,DC,MI,DC,field,MI,NA
Bengaluru,League,RCB,RR,RCB,field,RCB,NA
Delhi,League,DC,CSK,DC,bat,CSK,NA
Cuttack,League,SRH,PBKS,PBKS,field,SRH,NA
Ahmedabad,League,RR,KKR,RR,bat,RR,NA
Mumbai,League,MI,RCB,MI,bat,RCB,NA
Cuttack,League,SRH,DC,SRH,bat,SRH,NA
Chennai,League,CSK,PBKS,CSK,field,PBKS,NA
Mumbai,League,MI,KKR,KKR,bat,MI,NA
Bengaluru,League,RCB,CSK,CSK,field,RCB,NA
Chandigarh,League,PBKS,RR,PBKS,field,RR,NA
Mumbai,League,CSK,MI,MI,field,MI,NA
Bengaluru,League,RCB,DC,RCB,field,DC,NA
Ahmedabad,League,RR,SRH,SRH,bat,RR,NA
Chandigarh,League,PBKS,KKR,KKR,bat,KKR,NA
Ahmedabad,League,RR,CSK,RR,bat,RR,NA
Mumbai,League,SRH,MI,SRH,field,MI,NA
Delhi,League,DC,KKR,DC,bat,DC,NA
Mumbai,League,MI,PBKS,MI,field,MI,NA
Chennai,League,CSK,RCB,RCB,bat,CSK,NA
Delhi,League,DC,RR,DC,bat,DC,NA
Kolkata,League,KKR,SRH,KKR,bat,KKR,NA
Chandigarh,League,PBKS,RCB,PBKS,bat,RCB,NA
Chennai,League,CSK,RR,CSK,bat,CSK,NA
Mumbai,League,MI,SRH,MI,bat,MI,NA
Kolkata,League,KKR,PBKS,KKR,bat,PBKS,NA
Delhi,League,DC,RCB,DC,bat,DC,NA
Nagpur,League,SRH,RR,RR,bat,RR,NA
Chennai,League,CSK,MI,CSK,bat,CSK,NA
Jaipur,League,RR,PBKS,PBKS,bat,RR,NA
Kolkata,League,KKR,DC,KKR,bat,KKR,NA
Bengaluru,League,RCB,SRH,SRH,field,SRH,NA
Chandigarh,League,PBKS,MI,MI,bat,PBKS,NA
Nagpur,League,SRH,CSK,CSK,bat,SRH,NA
Bengaluru,League,RCB,KKR,RCB,field,RCB,NA
Delhi,League,DC,PBKS,DC,bat,PBKS,NA
Jaipur,League,RR,MI,RR,field,MI,NA
Nagpur,League,SRH,RCB,RCB,field,SRH,NA
Mumbai,League,MI,DC,MI,bat,MI,NA
Chennai,League,CSK,KKR,KKR,bat,CSK,NA
Jaipur,League,RR,RCB,RR,bat,RCB,NA
Chennai,League,CSK,DC,CSK,bat,DC,NA
Dharamsala,League,PBKS,SRH,SRH,field,SRH,NA
Bengaluru,League,RCB,MI,RCB,field,MI,NA
Kolkata,League,KKR,RR,RR,bat,KKR,NA
Dharamsala,League,PBKS,CSK,CSK,field,CSK,NA
Delhi,League,DC,SRH,SRH,bat,SRH,NA
Kolkata,League,KKR,MI,MI,bat,KKR,NA
Mumbai,Semi Final,RCB,MI,MI,bat,MI,NA
Mumbai,Semi Final,CSK,SRH,CSK,bat,CSK,NA
Mumbai,3rd Place Play-Off,RCB,SRH,SRH,bat,RCB,NA
Mumbai,Final,CSK,MI,CSK,bat,CSK,NA
Chennai,League,CSK,KKR,CSK,bat,CSK,NA
Hyderabad,League,SRH,RR,RR,field,RR,NA
,,,,,,,
Delhi,League,DC,MI,DC,bat,MI,NA
,,,,,,,
Kolkata,League,KKR,SRH,KKR,bat,KKR,NA
Jaipur,League,RR,DC,DC,bat,RR,NA
Bengaluru,League,RCB,MI,MI,field,MI,NA
Chandigarh,League,PBKS,CSK,PBKS,field,PBKS,NA
,,,,,,,
Hyderabad,League,SRH,RCB,RCB,field,SRH,NA
Jaipur,League,RR,KKR,KKR,field,KKR,NA
,,,,,,,
Chennai,League,CSK,RCB,CSK,bat,CSK,NA
Hyderabad,League,SRH,PBKS,PBKS,field,PBKS,NA
,,,,,,,
Kolkata,League,KKR,RR,KKR,field,KKR,NA
,,,,,,,
Delhi,League,DC,SRH,SRH,bat,SRH,NA
,,,,,,,
,,,,,,,
Chandigarh,League,PBKS,RR,RR,field,PBKS,NA
Mumbai,League,MI,CSK,CSK,field,MI,NA
Kolkata,League,KKR,RCB,RCB,field,RCB,NA
Delhi,League,DC,PBKS,PBKS,field,DC,NA
Hyderabad,League,SRH,MI,SRH,field,MI,NA
,,,,,,,
,,,,,,,
Delhi,League,DC,RCB,RCB,field,RCB,NA
,,,,,,,
,,,,,,,
Delhi,League,DC,KKR,DC,field,KKR,NA
Jaipur,League,RR,MI,RR,field,RR,NA
,,,,,,,
,,,,,,,
Kolkata,League,KKR,PBKS,KKR,field,KKR,NA
,,,,,,,
Chennai,League,CSK,SRH,CSK,bat,CSK,NA
Mumbai,League,MI,PBKS,PBKS,field,MI,NA
,,,,,,,
Hyderabad,League,SRH,KKR,SRH,field,KKR,NA
Chennai,League,CSK,RR,RR,bat,CSK,NA
,,,,,,,
,,,,,,,
Hyderabad,League,SRH,DC,DC,field,DC,NA
Bengaluru,League,RCB,PBKS,PBKS,field,RCB,NA
Kolkata,League,KKR,CSK,CSK,bat,KKR,D/L
Mumbai,League,MI,DC,DC,field,MI,NA
,,,,,,,
,,,,,,,
Jaipur,League,RR,CSK,RR,field,CSK,NA
,,,,,,,
Chandigarh,League,PBKS,MI,MI,field,PBKS,NA
Jaipur,League,RR,RCB,RCB,field,RCB,NA
Chennai,League,CSK,DC,CSK,bat,CSK,NA
,,,,,,,
Bengaluru,League,RCB,KKR,RCB,field,RCB,D/L
Mumbai,League,MI,SRH,SRH,bat,SRH,NA
Dharamsala,League,PBKS,DC,DC,field,PBKS,NA
,,,,,,,
,,,,,,,
Dharamsala,League,PBKS,RCB,PBKS,bat,PBKS,NA
,,,,,,,
,,,,,,,
Mumbai,League,MI,RR,MI,bat,RR,NA
Dharamsala,League,PBKS,SRH,PBKS,field,SRH,NA
,,,,,,,
Bengaluru,League,RCB,CSK,RCB,field,RCB,NA
Kolkata,League,KKR,MI,MI,field,MI,NA
Mumbai,Qualifier 1,RCB,CSK,CSK,field,CSK,NA
Mumbai,Elimination Final,MI,KKR,MI,field,MI,NA
Chennai,Qualifier 2,RCB,MI,MI,field,RCB,NA
Chennai,Final,CSK,RCB,CSK,bat,CSK,NA
Chennai,League,CSK,MI,MI,field,MI,NA
Kolkata,League,KKR,DC,DC,field,DC,NA
,,,,,,,
Jaipur,League,RR,PBKS,PBKS,field,RR,NA
Bengaluru,League,RCB,DC,DC,field,RCB,NA
Visakhapatnam,League,SRH,CSK,SRH,field,CSK,NA
Jaipur,League,RR,KKR,KKR,field,RR,NA
,,,,,,,
Visakhapatnam,League,SRH,MI,SRH,bat,MI,NA
Bengaluru,League,RCB,KKR,RCB,field,KKR,NA
Delhi,League,DC,CSK,DC,field,DC,NA
Mumbai,League,MI,RR,RR,field,MI,NA
Chennai,League,CSK,RCB,RCB,bat,CSK,NA
,,,,,,,
Kolkata,League,KKR,RR,RR,bat,KKR,NA
,,,,,,,
Kolkata,League,KKR,PBKS,KKR,field,PBKS,NA
Bengaluru,League,RCB,RR,RR,bat,RR,NA
Mumbai,League,MI,DC,DC,field,DC,NA
Jaipur,League,RR,SRH,SRH,bat,RR,NA
,,,,,,,
Chandigarh,League,PBKS,KKR,PBKS,bat,KKR,NA
Delhi,League,DC,SRH,SRH,bat,DC,NA
,,,,,,,
Chandigarh,League,PBKS,RCB,RCB,field,RCB,NA
Chennai,League,CSK,RR,RR,bat,CSK,NA
,,,,,,,
Mumbai,League,MI,PBKS,MI,bat,PBKS,NA
Cuttack,League,SRH,KKR,KKR,field,KKR,NA
Jaipur,League,RR,RCB,RR,field,RCB,NA
,,,,,,,
Chandigarh,League,PBKS,MI,PBKS,bat,MI,NA
,,,,,,,
Delhi,League,DC,MI,MI,field,DC,NA
Chennai,League,CSK,PBKS,PBKS,bat,PBKS,NA
Kolkata,League,KKR,RCB,KKR,bat,KKR,NA
Delhi,League,DC,RR,DC,bat,DC,NA
