Team,Name,Role,Bowling Type,Batting Position,Nationality,Priority,Rating
SRH,Aniket Verma,Batter,NA,Middle,India,mid ,8
SRH,Smaran Ravichandran,Batter,NA,Top,India,Low,8
SRH,Harshal Patel,All Rounder,Pace,Lower Middle,India,High,9
SRH,Kamindu Mendis,All Rounder,Spin,Lower Middle,Sri Lanka,mid ,8
SRH,Harsh Dubey,All Rounder,Spin,Lower Middle,India,mid ,9
SRH,Brydon Carse,All Rounder,Pace,Middle,England,Low,8
SRH,Shivang Kumar,All Rounder,Spin,Middle,India,Low,8
SRH,Krains Fuletra,All Rounder,Spin,Middle,India,Low,7
SRH,Liam Livingston,All Rounder,Spin,Middle,England,High,9
SRH,David Payne,Bowler,Pace,Lower,England,mid ,8
SRH,Abhishek Sharma,All Rounder,Spin,Opener,India,Top,10
SRH,Nitish Kumar Reddy,All Rounder,Pace,Middle,India,Top,9
SRH,Pat Cummins ,Bowler,Pace,Lower Middle,Australia,Top,10
SRH,Zeeshan Ansari,Bowler,Pace,Lower,India,mid ,8
SRH,Jaydev Unadkat,Bowler,Pace,Lower Middle,India,mid ,9
SRH,Eshan Malinga,Bowler,Pace,Lower,Sri Lanka,mid ,9
SRH,Sakib Hussain,Bowler,Pace,Lower,India,Low,8
SRH,Onkar Tarmale,Bowler,Pace,Lower,India,Low,8
SRH,Amit Kumar,Bowler,Spin,Lower,India,Low,8
SRH,Praful Hinge,Bowler,Pace,Lower,India,Low,8
SRH,Shivam Mavi,Bowler,Pace,Lower,India,mid ,9
